planet_name,disposition,koi_id,kic_id,npl,kep_mag,mstar,mstar_err1,mstar_err2,rstar,rstar_err1,rstar_err2,logrho,logrho_err1,logrho_err2,Teff,Teff_err1,Teff_err2,FeH,FeH_err1,FeH_err2,logg,logg_err1,logg_err2,limbdark_1,limbdark_2,period,period_err1,period_err2,epoch,epoch_err1,epoch_err2,prad,prad_err1,prad_err2,impact,impact_err1,impact_err2,depth,depth_err1,depth_err2,duration,duration_err1,duration_err2,ror,ror_err1,ror_err2,dor,dor_err1,dor_err2,snr,num_transits
K00752.01,CONFIRMED,K00752,10797460,2,15.347,0.959,0.054,-0.059,0.944,0.035,-0.033,0.05099999999999997,0.04782473050098913,-0.05441354962899957,5581.5,104.8,-99.0,0.071,0.125,-0.13,4.467,0.035,-0.043,0.4603,0.2291,9.488035570,2.7750000e-05,-2.7750000e-05,170.5387500,2.160000e-03,-2.160000e-03,2.26,2.600e-01,-1.500e-01,0.1460,0.3180,-0.1460,6.1580e+02,1.950e+01,-1.950e+01,2.95750,0.08190,-0.08190,0.022344,8.320000e-04,-5.280000e-04,24.810000,2.600000,-2.600000,35.80,142
K00752.02,CONFIRMED,K00752,10797460,2,15.347,0.959,0.054,-0.059,0.944,0.035,-0.033,0.05099999999999997,0.04782473050098913,-0.05441354962899957,5581.5,104.8,-99.0,0.071,0.125,-0.13,4.467,0.035,-0.043,0.4603,0.2291,54.418382700,2.4790000e-04,-2.4790000e-04,162.5138400,3.520000e-03,-3.520000e-03,2.83,3.200e-01,-1.900e-01,0.5860,0.0590,-0.4430,8.7480e+02,3.550e+01,-3.550e+01,4.50700,0.11600,-0.11600,0.027954,9.078000e-03,-1.347000e-03,77.900000,28.400000,-28.400000,25.80,25
K00753.01,CANDIDATE,K00753,10811496,1,15.436,0.961,0.074,-0.07,1.233,0.066,-0.063,-0.302,0.07606692475650403,-0.07627146069507079,5639.8,112.5,-106.6,0.024,0.163,-0.167,4.232,0.056,-0.057,0.3858,0.2711,19.899139950,1.4940000e-05,-1.4940000e-05,175.8502520,5.810000e-04,-5.810000e-04,14.60,3.920e+00,-1.310e+00,0.9690,5.1260,-0.0770,1.0829e+04,1.710e+02,-1.710e+02,1.78220,0.03410,-0.03410,0.154046,5.034292e+00,-4.217900e-02,53.500000,25.700000,-25.700000,76.30,56
K00755.01,CONFIRMED,K00755,10854555,1,15.509,0.934,0.05,-0.061,0.912,0.036,-0.034,0.08500000000000002,0.04648720081772156,-0.05786210063892272,5660.0,100.7,-95.2,-0.07,0.133,-0.15,4.486,0.033,-0.045,0.3661,0.2844,2.525591777,3.7610000e-06,-3.7610000e-06,171.5955500,1.130000e-03,-1.130000e-03,2.75,8.800e-01,-3.500e-01,0.7010,0.2350,-0.4780,6.0330e+02,1.690e+01,-1.690e+01,1.65450,0.04200,-0.04200,0.024064,3.751000e-03,-1.522000e-03,8.750000,4.000000,-4.000000,40.90,515
K00756.01,CONFIRMED,K00756,10872983,3,15.714,1.017,0.074,-0.078,1.106,0.065,-0.059,-0.13699999999999998,0.07590641056862549,-0.08021886891604058,5850.0,118.7,-115.1,-0.002,0.152,-0.16,4.349,0.056,-0.059,0.3511,0.2889,11.094320540,2.0360000e-05,-2.0360000e-05,171.2011600,1.410000e-03,-1.410000e-03,3.90,1.270e+00,-4.200e-01,0.5380,0.0300,-0.4280,1.5175e+03,2.420e+01,-2.420e+01,4.59450,0.06100,-0.06100,0.036779,5.115000e-03,-1.065000e-03,16.360000,8.100000,-8.100000,66.50,95
K00756.02,CONFIRMED,K00756,10872983,3,15.714,1.017,0.074,-0.078,1.106,0.065,-0.059,-0.13699999999999998,0.07590641056862549,-0.08021886891604058,5850.0,118.7,-115.1,-0.002,0.152,-0.16,4.349,0.056,-0.059,0.3511,0.2889,4.134435120,1.0460000e-05,-1.0460000e-05,172.9793700,1.900000e-03,-1.900000e-03,2.77,9.000e-01,-3.000e-01,0.7620,0.1390,-0.5320,6.8600e+02,1.870e+01,-1.870e+01,3.14020,0.06730,-0.06730,0.026133,1.968000e-03,-2.055000e-03,6.960000,2.800000,-2.800000,40.20,240
K00756.03,CONFIRMED,K00756,10872983,3,15.714,1.017,0.074,-0.078,1.106,0.065,-0.059,-0.13699999999999998,0.07590641056862549,-0.08021886891604058,5850.0,118.7,-115.1,-0.002,0.152,-0.16,4.349,0.056,-0.059,0.3511,0.2889,2.566588970,1.7810000e-05,-1.7810000e-05,179.5543700,4.610000e-03,-4.610000e-03,1.59,5.200e-01,-1.700e-01,0.7550,0.2120,-0.5230,2.2650e+02,1.680e+01,-1.680e+01,2.42900,0.16500,-0.16500,0.014983,3.935000e-03,-1.417000e-03,5.540000,2.700000,-2.700000,15.00,355
K00757.01,CONFIRMED,K00757,10910878,3,15.841,0.765,0.036,-0.039,0.736,0.023,-0.024,0.278,0.03563249687829312,-0.0413320003575349,4851.2,81.3,-76.7,-0.031,0.12,-0.113,4.587,0.024,-0.032,0.582,0.1451,16.068646740,1.0880000e-05,-1.0880000e-05,173.6219370,5.170000e-04,-5.170000e-04,5.76,2.200e-01,-4.900e-01,0.0520,0.2620,-0.0520,4.9143e+03,3.330e+01,-3.330e+01,3.53470,0.02410,-0.02410,0.062161,9.130000e-04,-4.280000e-04,36.850000,1.200000,-1.200000,161.90,69
K00001.01,CONFIRMED,K00001,11446443,1,11.338,0.978,0.07,-0.068,1.051,0.022,-0.021,-0.07799999999999997,0.04618361134822383,-0.04780433151808698,5730.0,102.6,-100.8,0.019,0.144,-0.144,4.383,0.04,-0.041,0.3928,0.2676,2.470613377,2.7000000e-08,-2.7000000e-08,122.7633050,8.700000e-06,-8.700000e-06,13.04,5.100e-01,-5.100e-01,0.8180,0.0010,-0.0010,1.4231e+04,4.200e+00,-4.200e+00,1.74319,0.00107,-0.00107,0.123871,5.100000e-05,-7.100000e-05,8.397700,0.026900,-0.026900,4304.30,432
K00002.01,CONFIRMED,K00002,10666592,1,10.463,1.515,0.063,-0.071,1.995,0.042,-0.04,-0.724,0.03246754189808543,-0.03492444549594753,6436.5,138.2,-126.5,0.221,0.121,-0.165,4.015,0.026,-0.029,0.2958,0.3168,2.204735417,4.3000000e-08,-4.3000000e-08,121.3585417,1.600000e-05,-1.600000e-05,16.10,8.100e-01,-9.100e-01,0.2240,0.1590,-0.2160,6.6747e+03,1.700e+00,-1.700e+00,3.88864,0.00203,-0.00203,0.075522,2.980000e-04,-3.500000e-04,4.602000,0.345000,-0.345000,5945.90,611
