koi_id,Teff,Teff_err1,Teff_err2,logg,logg_err1,logg_err2,FeH,FeH_err1,FeH_err2
K00001,5730.0,102.6,-100.8,4.383,0.04,-0.041,0.019,0.144,-0.144
K00002,6436.5,138.2,-126.5,4.015,0.026,-0.029,0.221,0.121,-0.165
K00003,4778.00,86.00,-95.00,4.591,0.015,-0.036,0.3200,0.1500,-0.1500
K00004,6244.00,126.00,-114.00,3.657,0.270,-0.090,-0.1600,0.2000,-0.1500
K00005,5937.00,83.00,-65.00,4.012,0.030,-0.030,0.1600,0.1000,-0.1000
K00007,5795.00,69.00,-77.00,4.101,0.033,-0.027,0.1800,0.1500,-0.1500
K00010,6225.00,112.00,-137.00,4.169,0.055,-0.045,-0.0400,0.1500,-0.1500
K00012,6823.00,61.00,-92.00,4.308,0.024,-0.128,0.0700,0.1500,-0.1500
K00013,9107.00,242.00,-443.00,3.867,0.343,-0.147,0.0700,0.1500,-0.7000
K00017,5640.00,113.00,-101.00,4.236,0.055,-0.045,0.3400,0.1000,-0.1500
K00018,6290.00,125.00,-125.00,4.074,0.050,-0.050,0.0400,0.1500,-0.1500
K00020,5953.00,105.00,-129.00,4.175,0.168,-0.112,0.0800,0.1500,-0.1500
K00022,5972.00,72.00,-84.00,4.313,0.095,-0.116,0.2400,0.1500,-0.1500
K00041,5788.00,78.00,-78.00,4.122,0.033,-0.027,0.1000,0.1500,-0.1500
K00042,6407.00,76.00,-83.00,4.268,0.030,-0.030,0.0000,0.1500,-0.1500
K00046,5576.00,112.00,-101.00,4.065,0.196,-0.084,0.3000,0.1500,-0.1500
K00049,5900.00,105.00,-117.00,4.509,0.021,-0.119,0.0700,0.1500,-0.1500
K00063,5578.00,100.00,-111.00,4.518,0.035,-0.105,0.0400,0.1500,-0.1500
K00064,5302.00,71.00,-87.00,3.768,0.060,-0.045,0.0000,0.1000,-0.1000
K00069,5648.00,76.00,-76.00,4.472,0.030,-0.030,-0.2000,0.1500,-0.1500
K00070,5465.00,109.00,-109.00,4.449,0.085,-0.085,0.0200,0.1500,-0.1500
K00072,5676.00,85.00,-68.00,4.347,0.030,-0.030,-0.1200,0.1500,-0.1500
