koi_id,npl,limbdark_1,limbdark_2,epoch,period,prad,impact,rho,logsw4_0,logw0_0,logq_0,logsw4_1,logw0_1,logq_1,logsw4_2,logw0_2,logq_2,logsw4_3,logw0_3,logq_3
K03309,1.0,1.07338,-0.24687,178.69504,71.05124,7.77253,0.95636,0.11719,-15.84278,-15.84278,-15.84278,-14.60091,-14.60091,-14.60091,-14.88092,-14.88092,-14.88092,-13.11746,-13.11746,-13.11746
K00219,1.0,0.28171,0.31678,137.42866,8.02512,8.22001,0.62375,0.88006,-15.52284,-15.52284,-15.52284,-15.22561,-15.22561,-15.22561,-15.92134,-15.92134,-15.92134,-15.69881,-15.69881,-15.69881
K00856,1.0,0.24511,0.43936,157.67107,39.74898,7.90505,0.16689,0.77291,-16.33417,-16.33417,-16.33417,-21.39721,-21.39721,-21.39721,-16.51397,-16.51397,-16.51397,-20.8412,-20.8412,-20.8412
K02683,1.0,0.76922,-0.09868,244.65192,126.44502,4.24824,0.92047,1.88143,-14.0334,-14.0334,-14.0334,-16.6001,-16.6001,-16.6001,-15.50539,-15.50539,-15.50539,-15.81154,-15.81154,-15.81154
K01457,1.0,0.45015,0.1854,357.12158,8.02751,8.40788,0.85943,2.04234,-15.2469,-15.2469,-15.2469,-15.51829,-15.51829,-15.51829,-15.1204,-15.1204,-15.1204,-16.56431,-16.56431,-16.56431
K00865,1.0,1.02678,-0.30262,176.79836,119.01665,7.73654,0.36121,1.92246,-12.09806,-12.09806,-12.09806,-11.61048,-11.61048,-11.61048,-15.79413,-15.79413,-15.79413,-12.45775,-12.45775,-12.45775
K01790,1.0,0.33272,0.37075,224.62441,130.35456,7.72229,0.80709,5.46304,-13.97492,-13.97492,-13.97492,0.0,0.0,0.0,-14.00675,-14.00675,-14.00675,-4.49343,-4.49343,-4.49343
K00429,1.0,0.54506,0.21128,134.84721,8.60007,4.14054,0.19234,1.48967,-13.18997,-13.18997,-13.18997,-14.06438,-14.06438,-14.06438,-12.05247,-12.05247,-12.05247,-9.5752,-9.5752,-9.5752
K03801,1.0,0.46988,0.06365,264.68697,288.29452,3.5836,0.3498,0.72139,-11.12485,-11.12485,-11.12485,-11.67085,-11.67085,-11.67085,-10.57025,-10.57025,-10.57025,-11.92772,-11.92772,-11.92772
K04756,1.0,0.43226,0.01626,131.72314,5.41693,8.25046,0.94063,1.09387,-26.17603,-26.17603,-26.17603,-15.85999,-15.85999,-15.85999,-15.64977,-15.64977,-15.64977,-17.90433,-17.90433,-17.90433
K01553,1.0,0.21778,0.51366,136.1553,52.75881,8.80158,0.35424,1.10712,-14.92351,-14.92351,-14.92351,-14.81689,-14.81689,-14.81689,-15.0083,-15.0083,-15.0083,-14.33963,-14.33963,-14.33963
K00621,1.0,1.35195,-0.4625,131.87404,17.76198,7.3524,0.96432,0.53007,-17.19848,-17.19848,-17.19848,-17.79582,-17.79582,-17.79582,-18.68915,-18.68915,-18.68915,-18.78677,-18.78677,-18.78677
K00212,1.0,0.33498,0.27277,137.04988,5.69594,6.7711,0.49909,1.55422,0.0,0.0,0.0,-3.36071,-3.36071,-3.36071,-3.10947,-3.10947,-3.10947,0.0,0.0,0.0
K00777,1.0,0.47136,0.06759,158.12634,40.41951,7.67241,0.38854,2.0107,-10.86314,-10.86314,-10.86314,-11.60206,-11.60206,-11.60206,-11.12291,-11.12291,-11.12291,-11.0084,-11.0084,-11.0084
K00210,1.0,0.5014,0.05386,135.51821,4.18547,4.35757,0.70732,0.42462,-3.06327,-3.06327,-3.06327,-3.38354,-3.38354,-3.38354,-4.44571,-4.44571,-4.44571,-2.67277,-2.67277,-2.67277
K00824,1.0,0.82603,-0.06781,198.50043,15.37549,13.1791,0.95693,1.3287,-2.58592,-2.58592,-2.58592,0.0,0.0,0.0,-3.49513,-3.49513,-3.49513,-2.7982,-2.7982,-2.7982
K05384,1.0,0.42947,0.1212,1277.8885,7.95333,9.92746,0.69883,0.40459,0.0,0.0,0.0,0.0,0.0,0.0,-11.22988,-11.22988,-11.22988,-11.75662,-11.75662,-11.75662
K04632,1.0,0.66767,-0.20062,368.84796,40.06915,5.604,0.42732,1.61893,-14.17119,-14.17119,-14.17119,-15.18355,-15.18355,-15.18355,-13.25648,-13.25648,-13.25648,-15.07759,-15.07759,-15.07759
K00922,1.0,0.56399,0.01082,154.2057,5.15448,2.03484,0.96934,7.00235,-12.02118,-12.02118,-12.02118,-17.90811,-17.90811,-17.90811,-15.66512,-15.66512,-15.66512,-15.3511,-15.3511,-15.3511
K01420,1.0,0.74229,-0.05204,357.98893,13.35149,4.47919,0.47753,2.01741,-13.54084,-13.54084,-13.54084,-9.54341,-9.54341,-9.54341,-11.83999,-11.83999,-11.83999,-11.86932,-11.86932,-11.86932
K02689,1.0,0.53137,-0.07408,276.48638,165.34468,7.01683,0.57757,1.89523,-14.90685,-14.90685,-14.90685,-13.21505,-13.21505,-13.21505,-12.27897,-12.27897,-12.27897,-13.58391,-13.58391,-13.58391
K01066,1.0,0.32584,0.28527,352.82553,5.71482,9.55931,0.54892,1.14804,-13.4389,-13.4389,-13.4389,-11.93925,-11.93925,-11.93925,-13.57267,-13.57267,-13.57267,-13.17261,-13.17261,-13.17261
