koi_id,npl,rstar,mstar,limbdark_1,limbdark_2,epoch,period,prade,prade_err3m,prade_err2m,prade_err1m,prade_err1p,prade_err2p,prade_err3p,impact,impact_err3m,impact_err2m,impact_err1m,impact_err1p,impact_err2p,impact_err3p,logsw4_0,logw0_0,logq_0,logsw4_1,logw0_1,logq_1,logsw4_2,logw0_2,logq_2,logsw4_3,logw0_3,logq_3
K01560,1.0,1.20538,1.14618,0.43537,0.30277,146.24136,31.56907,11.65331,10.1307,10.71971,11.21607,12.20415,13.03506,13.15036,0.63903,0.53031,0.57967,0.61141,0.6678,0.69656,0.7074,-16.38097,-16.38097,-16.38097,-18.0165,-18.0165,-18.0165,-14.99863,-14.99863,-14.99863,-16.08231,-16.08231,-16.08231
K01772,1.0,0.66061,0.65507,0.76002,0.0896,204.2968,120.00416,4.70223,4.24847,4.34416,4.47044,4.93618,5.17994,5.38814,0.32597,0.00326,0.0325,0.17477,0.41852,0.48592,0.53664,-33.02543,-33.02543,-33.02543,-15.54003,-15.54003,-15.54003,-18.88961,-18.88961,-18.88961,-32.14638,-32.14638,-32.14638
K01582,1.0,1.13098,0.79576,0.39916,0.39382,262.14619,186.43535,8.94105,7.74617,8.04648,8.47929,9.38962,9.76487,10.07087,0.5522,0.31169,0.40437,0.4859,0.60601,0.64523,0.67712,0.0,0.0,0.0,-14.39373,-14.39373,-14.39373,0.0,0.0,0.0,-5.68949,-5.68949,-5.68949
K01209,1.0,1.03906,1.06618,0.4565,0.00273,274.21207,272.08774,5.79138,5.16369,5.28794,5.46552,6.30758,6.81535,7.18136,0.32856,0.00195,0.01509,0.11993,0.47497,0.56432,0.60545,0.0,0.0,0.0,-14.92565,-14.92565,-14.92565,-15.29751,-15.29751,-15.29751,-15.33938,-15.33938,-15.33938
K01552,1.0,0.7711,0.74785,0.60894,0.23347,387.50085,77.63418,9.41807,8.97652,9.11021,9.24805,9.61287,9.84047,10.00377,0.12909,0.00039,0.00544,0.04309,0.22695,0.29987,0.32511,-15.80617,-15.80617,-15.80617,-14.13326,-14.13326,-14.13326,-14.89926,-14.89926,-14.89926,-13.66392,-13.66392,-13.66392
K01328,1.0,0.85007,0.85318,0.4211,0.08706,211.02057,80.96665,4.83609,2.89806,3.38642,4.17821,5.37193,5.90942,6.39914,0.85142,0.556,0.67464,0.79393,0.88317,0.90469,0.91929,-16.47787,-16.47787,-16.47787,-16.90249,-16.90249,-16.90249,-17.97157,-17.97157,-17.97157,-22.07458,-22.07458,-22.07458
K02577,1.0,1.44194,1.41667,0.71349,0.13403,143.53707,18.55591,4.50025,4.05876,4.18246,4.34456,4.68579,4.84998,4.96553,0.74313,0.68086,0.70014,0.72372,0.75993,0.77501,0.78418,-109.0181,-109.0181,-109.0181,-108.01252,-108.01252,-108.01252,-107.0976,-107.0976,-107.0976,-107.75172,-107.75172,-107.75172
K03811,1.0,1.38349,0.97547,0.22576,0.0187,196.4956,290.15064,8.31904,7.35801,7.66396,7.96123,8.73538,9.22097,9.6695,0.1841,0.00063,0.01058,0.06493,0.31345,0.41174,0.47189,-14.73888,-14.73888,-14.73888,-18.31828,-18.31828,-18.31828,-14.03646,-14.03646,-14.03646,-38.77442,-38.77442,-38.77442
K00918,1.0,0.89022,0.80781,0.42939,0.49005,151.8043,39.64343,11.49362,10.79549,10.97187,11.24114,11.70934,11.92258,12.11817,0.43799,0.3331,0.36281,0.40269,0.46889,0.50103,0.52895,-4.32919,-4.32919,-4.32919,-3.93923,-3.93923,-3.93923,-4.00575,-4.00575,-4.00575,-2.45693,-2.45693,-2.45693
K06774,1.0,1.18492,1.04881,0.20468,0.45956,170.53106,1.33705,6.69131,5.85567,6.114,6.40127,6.9705,7.20789,7.49477,0.74208,0.6514,0.68827,0.71694,0.76227,0.77784,0.8001,-9.83807,-9.83807,-9.83807,0.0,0.0,0.0,-10.26487,-10.26487,-10.26487,-10.51694,-10.51694,-10.51694
K04007,1.0,1.10198,1.16016,0.3072,0.30188,140.41681,11.49263,8.80022,8.05329,8.31966,8.54579,9.08732,9.3653,9.60989,0.72885,0.67673,0.69753,0.71334,0.74175,0.75381,0.76217,-14.91327,-14.91327,-14.91327,-15.60919,-15.60919,-15.60919,-36.56901,-36.56901,-36.56901,-37.49536,-37.49536,-37.49536
K01856,1.0,0.77857,0.88282,0.03738,0.8889,132.97379,0.85739,4.2933,4.04007,4.11631,4.20504,4.386,4.51471,4.57751,0.80162,0.77341,0.78307,0.79208,0.8128,0.82606,0.83364,-11.22198,-11.22198,-11.22198,-8.37396,-8.37396,-8.37396,-10.59392,-10.59392,-10.59392,-5.01657,-5.01657,-5.01657
K00902,1.0,0.66749,0.61158,0.34166,0.6184,134.03408,4.4171,4.69354,4.33353,4.45152,4.56995,4.82409,4.93819,5.01159,0.39058,0.13709,0.26683,0.33807,0.43798,0.48022,0.50442,-3.14925,-3.14925,-3.14925,-3.26854,-3.26854,-3.26854,-2.14633,-2.14633,-2.14633,-3.82982,-3.82982,-3.82982
K01503,1.0,1.15059,0.95072,0.38413,0.43266,381.313,150.25306,4.41843,3.65028,3.81191,4.00615,4.96821,5.61124,6.16776,0.43735,0.00264,0.04537,0.21233,0.5786,0.67735,0.73,-16.73125,-16.73125,-16.73125,-36.4063,-36.4063,-36.4063,-16.10102,-16.10102,-16.10102,-14.96175,-14.96175,-14.96175
K05124,1.0,0.84983,0.95917,0.64958,-0.00945,347.64547,276.87995,12.19974,7.45709,8.16254,9.22477,20.72465,30.06263,32.06545,0.43568,0.01569,0.03567,0.2192,0.66626,0.83092,0.8831,-15.99552,-15.99552,-15.99552,-19.42074,-19.42074,-19.42074,-18.94296,-18.94296,-18.94296,-20.01577,-20.01577,-20.01577
K00797,1.0,0.75158,0.73665,1.45852,-0.53335,173.25163,10.1816,9.33609,5.96818,6.58633,7.75148,10.87283,12.43936,13.51456,0.97397,0.90596,0.9219,0.94536,0.99302,0.99909,0.99997,-15.34871,-15.34871,-15.34871,-15.30541,-15.30541,-15.30541,-15.54054,-15.54054,-15.54054,-15.01239,-15.01239,-15.01239
K00855,1.0,0.91595,0.77444,0.38169,0.35403,138.56446,41.40829,8.23178,7.91443,7.99907,8.111,8.38058,8.53914,8.7116,0.12343,0.0002,0.00718,0.04193,0.20403,0.25523,0.27825,-13.94976,-13.94976,-13.94976,-14.50748,-14.50748,-14.50748,-15.99113,-15.99113,-15.99113,-14.52989,-14.52989,-14.52989
K01455,1.0,1.45556,1.10498,0.45825,0.22161,357.79711,15.06803,4.32947,3.70859,3.89236,4.09185,4.64566,5.17592,5.66511,0.24389,0.00114,0.01303,0.08298,0.41787,0.56356,0.67343,-14.02261,-14.02261,-14.02261,-11.89875,-11.89875,-11.89875,0.0,0.0,0.0,-14.79432,-14.79432,-14.79432
K02474,1.0,0.76384,0.67934,0.30349,0.55152,306.58113,176.84476,4.40024,3.63505,3.84884,4.11794,4.81397,5.44507,5.82438,0.2694,0.00082,0.01176,0.08927,0.45466,0.57657,0.6437,-3.20337,-3.20337,-3.20337,-16.13021,-16.13021,-16.13021,-4.29474,-4.29474,-4.29474,-15.46998,-15.46998,-15.46998
