koi_id,npl,rstar,mstar,limbdark_1,limbdark_2,epoch,period,prade,prade_err3m,prade_err2m,prade_err1m,prade_err1p,prade_err2p,prade_err3p,impact,impact_err3m,impact_err2m,impact_err1m,impact_err1p,impact_err2p,impact_err3p,logsw4_0,logw0_0,logq_0,logsw4_1,logw0_1,logq_1,logsw4_2,logw0_2,logq_2,logsw4_3,logw0_3,logq_3
K01760,2.0,0.81075,0.9297,0.54445,0.09144,137.34093,5.9076,2.15257,1.97645,2.0211,2.0824,2.22654,2.30913,2.37421,0.61989,0.54207,0.56924,0.59452,0.64663,0.67124,0.69029,-3.79935,-3.79935,-3.79935,-1.51037,-1.51037,-1.51037,-12.1376,-12.1376,-12.1376,-1.81912,-1.81912,-1.81912
K01760,2.0,0.81075,0.9297,0.54445,0.09144,138.21712,8.01439,3.17005,3.00229,3.0479,3.10114,3.26629,3.36692,3.47908,0.16986,0.0015,0.00965,0.06173,0.27376,0.34731,0.3984,-3.79935,-3.79935,-3.79935,-1.51037,-1.51037,-1.51037,-12.1376,-12.1376,-12.1376,-1.81912,-1.81912,-1.81912
K00448,2.0,0.64823,0.74347,0.41096,0.38485,139.45203,10.19916,1.94457,1.818,1.84826,1.88855,2.00443,2.06041,2.10426,0.284,0.00319,0.02965,0.17703,0.35534,0.41149,0.44643,-3.8091,-3.8091,-3.8091,-3.9724,-3.9724,-3.9724,-4.70246,-4.70246,-4.70246,-4.8271,-4.8271,-4.8271
K00448,2.0,0.64823,0.74347,0.41096,0.38485,134.50283,20.71287,1.02955,0.8765,0.92268,0.97601,1.0843,1.15344,1.23006,0.36138,0.00211,0.04105,0.19408,0.47753,0.65973,0.73775,-3.8091,-3.8091,-3.8091,-3.9724,-3.9724,-3.9724,-4.70246,-4.70246,-4.70246,-4.8271,-4.8271,-4.8271
K03401,2.0,0.94727,1.01028,0.28658,0.46105,141.74444,15.87161,1.12858,0.89857,0.97407,1.04819,1.21377,1.3053,1.38158,0.55081,0.08679,0.29864,0.4621,0.62255,0.67964,0.73049,-17.00631,-17.00631,-17.00631,-16.46798,-16.46798,-16.46798,-16.25381,-16.25381,-16.25381,-17.46875,-17.46875,-17.46875
K03401,2.0,0.94727,1.01028,0.28658,0.46105,148.53794,26.53084,3.30131,2.95724,3.03091,3.14107,3.47295,3.66698,3.81131,0.37813,0.003,0.05564,0.24571,0.47165,0.53915,0.58444,-17.00631,-17.00631,-17.00631,-16.46798,-16.46798,-16.46798,-16.25381,-16.25381,-16.25381,-17.46875,-17.46875,-17.46875
K00638,2.0,0.93029,0.9017,0.23904,0.47256,137.2566,8.17096,1.51641,1.41393,1.4455,1.4779,1.55396,1.59354,1.62649,0.13431,0.001,0.00659,0.04456,0.24507,0.3287,0.40497,-3.80613,-3.80613,-3.80613,-4.64731,-4.64731,-4.64731,-16.87798,-16.87798,-16.87798,-10.88851,-10.88851,-10.88851
K00638,2.0,0.93029,0.9017,0.23904,0.47256,131.52678,11.63167,1.50606,1.31854,1.36538,1.43473,1.57692,1.65623,1.75358,0.88034,0.83608,0.85582,0.86655,0.89426,0.90615,0.91467,-3.80613,-3.80613,-3.80613,-4.64731,-4.64731,-4.64731,-16.87798,-16.87798,-16.87798,-10.88851,-10.88851,-10.88851
K01101,2.0,0.77117,0.80199,0.58808,0.00322,187.52549,115.83778,1.74594,1.27621,1.42385,1.58221,1.90724,2.0665,2.18842,0.26115,0.00135,0.01408,0.08941,0.46228,0.61542,0.71042,-11.43807,-11.43807,-11.43807,-13.07358,-13.07358,-13.07358,-10.6849,-10.6849,-10.6849,-10.83731,-10.83731,-10.83731
K01101,2.0,0.77117,0.80199,0.58808,0.00322,249.79305,244.65798,1.49651,0.05231,0.39257,1.11276,1.82661,2.15659,2.53387,0.65352,0.00464,0.05759,0.33113,0.79392,0.87862,0.94474,-11.43807,-11.43807,-11.43807,-13.07358,-13.07358,-13.07358,-10.6849,-10.6849,-10.6849,-10.83731,-10.83731,-10.83731
