koi_id,npl,rstar,mstar,limbdark_1,limbdark_2,epoch,period,prade,prade_err3m,prade_err2m,prade_err1m,prade_err1p,prade_err2p,prade_err3p,impact,impact_err3m,impact_err2m,impact_err1m,impact_err1p,impact_err2p,impact_err3p,logsw4_0,logw0_0,logq_0,logsw4_1,logw0_1,logq_1,logsw4_2,logw0_2,logq_2,logsw4_3,logw0_3,logq_3
K03394,1.0,1.49863,0.96979,0.94917,-0.24232,132.60407,2.59604,1.82058,1.55027,1.63143,1.72591,1.92601,2.04722,2.14554,0.16691,0.00133,0.00858,0.05378,0.32416,0.44777,0.51601,-13.07776,-13.07776,-13.07776,-16.3116,-16.3116,-16.3116,-13.03456,-13.03456,-13.03456,-12.93627,-12.93627,-12.93627
K02468,1.0,1.3814,1.22703,0.64439,-0.02971,138.14029,24.33446,1.83648,0.64273,1.11669,1.49871,2.22379,2.71234,3.35654,0.88027,0.14182,0.60196,0.80935,0.92134,0.95306,0.986,-16.57993,-16.57993,-16.57993,-18.06173,-18.06173,-18.06173,-17.11141,-17.11141,-17.11141,-15.35768,-15.35768,-15.35768
K05741,1.0,0.97637,0.71625,0.82937,-0.13321,377.95645,362.09756,2.40934,1.7547,1.93966,2.15942,2.64701,2.92249,3.41229,0.21818,0.00256,0.01379,0.06653,0.40564,0.60401,0.75712,-13.75098,-13.75098,-13.75098,0.0,0.0,0.0,0.0,0.0,0.0,-9.7628,-9.7628,-9.7628
K01842,1.0,0.85916,0.87094,0.53636,0.3374,131.5644,16.84176,3.00694,2.74679,2.82841,2.9138,3.10115,3.20117,3.29109,0.47045,0.27685,0.34283,0.41361,0.51812,0.56075,0.59865,-10.17328,-10.17328,-10.17328,-12.60347,-12.60347,-12.60347,-9.59147,-9.59147,-9.59147,-10.26062,-10.26062,-10.26062
K01683,1.0,0.91722,0.98873,0.28071,0.44451,133.5305,3.03834,1.76499,1.63487,1.66963,1.71191,1.82375,1.88181,1.94294,0.229,0.00209,0.01808,0.08996,0.35472,0.43969,0.48787,-11.21777,-11.21777,-11.21777,-11.78377,-11.78377,-11.78377,-11.45715,-11.45715,-11.45715,-11.64873,-11.64873,-11.64873
K03034,1.0,0.6381,0.61546,0.25847,0.38839,133.32468,2.38622,1.69624,1.55675,1.60276,1.64208,1.77478,1.86252,1.95408,0.24622,0.00275,0.02001,0.09479,0.36666,0.4607,0.51828,-11.68099,-11.68099,-11.68099,-13.96052,-13.96052,-13.96052,-15.6957,-15.6957,-15.6957,-12.86839,-12.86839,-12.86839
K01570,1.0,1.03319,0.95553,0.48919,0.02808,358.76581,6.33858,3.33225,3.11112,3.16529,3.2478,3.42892,3.5387,3.58597,0.15878,0.00059,0.00929,0.05622,0.28074,0.35831,0.38026,-14.47904,-14.47904,-14.47904,-15.46317,-15.46317,-15.46317,-15.96696,-15.96696,-15.96696,-16.01912,-16.01912,-16.01912
K03455,1.0,0.71784,0.81814,0.62701,-0.00817,352.59493,14.05464,1.3945,0.5888,0.87687,1.13963,1.69681,2.14432,3.00938,0.93451,0.64814,0.79036,0.91004,0.9529,0.97126,0.98901,-19.35279,-19.35279,-19.35279,-17.67759,-17.67759,-17.67759,-19.48207,-19.48207,-19.48207,-14.43446,-14.43446,-14.43446
K00426,1.0,0.80238,0.75391,0.32013,0.3595,132.06443,1.25395,3.79261,3.53328,3.58223,3.68511,3.89587,3.98483,4.02377,0.40414,0.20385,0.26576,0.34282,0.45441,0.4905,0.51193,-14.31667,-14.31667,-14.31667,-14.59522,-14.59522,-14.59522,-16.51301,-16.51301,-16.51301,-18.31847,-18.31847,-18.31847
K03267,1.0,0.96126,0.84342,0.60246,0.00187,131.58213,14.19604,1.67366,1.50013,1.55292,1.61208,1.73446,1.78952,1.84885,0.13013,0.00127,0.00593,0.03976,0.2451,0.35407,0.43484,-14.52292,-14.52292,-14.52292,-14.54519,-14.54519,-14.54519,-15.9379,-15.9379,-15.9379,-13.76552,-13.76552,-13.76552
K05410,1.0,1.32687,1.27214,0.68703,-0.06113,137.19818,24.15197,0.85075,0.32935,0.53432,0.70122,0.99153,1.14286,1.31269,0.62532,0.00401,0.06547,0.32243,0.77394,0.85675,0.92539,-18.44645,-18.44645,-18.44645,-17.93964,-17.93964,-17.93964,-16.57989,-16.57989,-16.57989,-17.31166,-17.31166,-17.31166
K05964,1.0,1.15418,1.20841,0.60936,0.09231,121.38756,0.94216,0.83721,0.70925,0.75168,0.79323,0.88647,0.94142,1.00434,0.74408,0.61718,0.67681,0.71236,0.7761,0.81021,0.82872,-18.33202,-18.33202,-18.33202,-16.24009,-16.24009,-16.24009,-17.58066,-17.58066,-17.58066,-17.16993,-17.16993,-17.16993
K04580,1.0,1.48072,1.24979,0.5222,0.16519,122.28522,6.30427,1.17361,0.99828,1.06178,1.11658,1.23053,1.28399,1.35734,0.56255,0.32345,0.43286,0.50074,0.60966,0.64928,0.67354,-21.799,-21.799,-21.799,-15.87969,-15.87969,-15.87969,-15.57378,-15.57378,-15.57378,-16.65111,-16.65111,-16.65111
K05098,1.0,0.87744,0.80709,0.67375,-0.02236,214.84855,100.34476,1.42733,0.17635,0.74863,1.14301,1.74118,2.16419,2.91569,0.89433,0.00947,0.41525,0.84069,0.93511,0.9585,0.98405,-16.67788,-16.67788,-16.67788,-13.61949,-13.61949,-13.61949,-12.10863,-12.10863,-12.10863,-12.9546,-12.9546,-12.9546
K00587,1.0,0.74505,0.82528,0.37398,0.45511,138.17666,14.03487,2.39541,2.26553,2.30679,2.34701,2.44998,2.52493,2.57372,0.15319,0.00273,0.01003,0.05056,0.25973,0.34839,0.39929,-14.06262,-14.06262,-14.06262,-14.07879,-14.07879,-14.07879,-16.32027,-16.32027,-16.32027,-18.69777,-18.69777,-18.69777
K01852,1.0,1.44879,1.19867,0.4844,0.37986,147.278,15.77389,2.64799,2.39634,2.4631,2.55537,2.74724,2.83639,2.92478,0.55084,0.4217,0.46406,0.50924,0.5874,0.61616,0.6395,-13.68803,-13.68803,-13.68803,-14.52318,-14.52318,-14.52318,-11.80009,-11.80009,-11.80009,-13.85113,-13.85113,-13.85113
K00854,1.0,0.55838,0.56626,0.91643,-0.11787,179.75388,56.05562,1.73951,1.40516,1.49312,1.62108,1.85102,1.95464,2.03758,0.44859,0.00468,0.0591,0.29532,0.5391,0.60585,0.69241,-2.06321,-2.06321,-2.06321,-1.94749,-1.94749,-1.94749,-2.01634,-2.01634,-2.01634,-1.3058,-1.3058,-1.3058
K02835,1.0,0.66789,0.68878,1.22042,-0.46182,175.75826,6.30914,1.37473,1.22805,1.26501,1.32125,1.42924,1.48463,1.52825,0.10587,0.00049,0.00639,0.03347,0.2026,0.30188,0.37041,-13.30414,-13.30414,-13.30414,-14.59852,-14.59852,-14.59852,-12.57689,-12.57689,-12.57689,-14.56153,-14.56153,-14.56153
K00804,1.0,0.91434,0.94333,0.54885,0.30275,137.63561,9.02937,2.4811,2.26269,2.32579,2.40321,2.58378,2.68575,2.75735,0.22541,0.00215,0.01471,0.08915,0.35421,0.43801,0.49348,-14.88728,-14.88728,-14.88728,-18.87956,-18.87956,-18.87956,-16.73052,-16.73052,-16.73052,-12.88337,-12.88337,-12.88337
K02555,1.0,1.16753,1.10076,0.64988,0.0088,125.70312,12.57211,1.02218,0.902,0.94278,0.9874,1.06081,1.09948,1.14065,0.10015,0.00039,0.00398,0.03136,0.2065,0.30241,0.37902,-15.1871,-15.1871,-15.1871,-15.85216,-15.85216,-15.85216,-15.06964,-15.06964,-15.06964,-15.00085,-15.00085,-15.00085
K01072,1.0,0.85794,0.92645,0.44871,0.40549,135.24221,10.12812,1.93027,1.789,1.8394,1.88177,1.98278,2.03939,2.0814,0.12918,0.00045,0.00714,0.0408,0.24155,0.32926,0.40417,-16.21492,-16.21492,-16.21492,-18.85239,-18.85239,-18.85239,-15.7616,-15.7616,-15.7616,-14.70685,-14.70685,-14.70685
K01508,1.0,1.20834,1.11077,0.83048,-0.07159,150.1015,22.04605,3.08481,2.18343,2.39772,2.69786,3.499,3.9265,4.52142,0.79068,0.48624,0.64901,0.73189,0.83406,0.86317,0.88754,-13.30248,-13.30248,-13.30248,-15.55018,-15.55018,-15.55018,-14.11283,-14.11283,-14.11283,-14.97822,-14.97822,-14.97822
K07319,1.0,0.58103,0.53728,1.00882,-0.27708,136.40639,17.1684,1.02804,0.78636,0.86685,0.94795,1.11449,1.20657,1.37726,0.21477,0.00098,0.01094,0.07921,0.37664,0.5563,0.78661,-11.2038,-11.2038,-11.2038,-11.98436,-11.98436,-11.98436,-11.6304,-11.6304,-11.6304,-12.46511,-12.46511,-12.46511
K01861,1.0,1.03924,0.98574,0.79223,0.09841,171.07161,3.50089,3.57947,3.10258,3.25701,3.3984,3.84545,4.11942,4.31103,0.87121,0.83666,0.84795,0.85976,0.88205,0.89056,0.89885,-13.41768,-13.41768,-13.41768,-14.06991,-14.06991,-14.06991,-13.32674,-13.32674,-13.32674,-12.65414,-12.65414,-12.65414
