kepid,kepmag,nkoi,rrmscdpp03p0,rrmscdpp06p0,rrmscdpp09p0,rrmscdpp12p0,rrmscdpp15p0,st_delivname
10000162,15.149,1,,,,,,q1_q12_stellar
10007916,14.829,1,,,,,,q1_q12_stellar
10010452,14.806,1,,,,,,q1_q12_stellar
10015937,15.742,1,,,,,,q1_q12_stellar
10014702,15.130,1,,,,,,q1_q12_stellar
10018233,15.243,1,,,,,,q1_q12_stellar
10026136,15.163,1,,,,,,q1_q12_stellar
10026544,12.982,1,,,,,,q1_q12_stellar
10027247,15.474,1,,,,,,q1_q12_stellar
10028127,15.719,1,,,,,,q1_q12_stellar
10028352,12.655,2,,,,,,q1_q12_stellar
10028535,15.304,1,,,,,,q1_q12_stellar
10031500,15.214,1,,,,,,q1_q12_stellar
10031526,15.687,1,,,,,,q1_q12_stellar
10031707,13.866,1,,,,,,q1_q12_stellar
10156055,14.049,1,,,,,,q1_q12_stellar
10158729,14.649,1,,,,,,q1_q12_stellar
10163066,15.165,1,,,,,,q1_q12_stellar
10098534,15.017,1,,,,,,q1_q12_stellar
10118816,15.233,1,,,,,,q1_q12_stellar
10146103,14.498,1,,,,,,q1_q12_stellar
10208477,12.055,1,,,,,,q1_q12_stellar
10191070,15.825,1,,,,,,q1_q12_stellar
10128825,14.757,1,,,,,,q1_q12_stellar
10352945,15.403,1,,,,,,q1_q12_stellar
10290447,14.353,1,,,,,,q1_q12_stellar
10292238,14.996,1,,,,,,q1_q12_stellar
10294465,14.949,1,,,,,,q1_q12_stellar
10338624,12.156,1,,,,,,q1_q12_stellar
10339000,14.333,1,,,,,,q1_q12_stellar
10253638,13.272,1,,,,,,q1_q12_stellar
10318874,12.895,1,,,,,,q1_q12_stellar
10341777,13.087,1,,,,,,q1_q12_stellar
10341831,14.960,1,,,,,,q1_q12_stellar
10342248,14.760,1,,,,,,q1_q12_stellar
10319834,14.942,1,,,,,,q1_q12_stellar
10257229,13.666,1,,,,,,q1_q12_stellar
1026032,14.813,1,,,,,,q1_q12_stellar
10470993,14.616,1,,,,,,q1_q12_stellar
10471055,15.024,1,,,,,,q1_q12_stellar
10397315,14.358,1,,,,,,q1_q12_stellar
10426656,14.678,3,,,,,,q1_q12_stellar
10471167,13.007,1,,,,,,q1_q12_stellar
10471345,15.759,1,,,,,,q1_q12_stellar
10471621,15.439,2,,,,,,q1_q12_stellar
10450504,15.864,1,,,,,,q1_q12_stellar
10480982,15.341,2,,,,,,q1_q12_stellar
10518725,13.124,1,,,,,,q1_q12_stellar
10407430,15.619,1,,,,,,q1_q12_stellar
10453588,12.464,1,,,,,,q1_q12_stellar
10383696,16.947,1,,,,,,q1_q12_stellar
10384962,14.371,1,,,,,,q1_q12_stellar
10386984,15.488,1,,,,,,q1_q12_stellar
10419108,12.941,1,,,,,,q1_q12_stellar
10491062,15.339,1,,,,,,q1_q12_stellar
10657664,13.234,1,,,,,,q1_q12_stellar
10583066,15.784,1,,,,,,q1_q12_stellar
10661778,17.661,1,,,,,,q1_q12_stellar
10661917,12.976,1,,,,,,q1_q12_stellar
10662202,15.377,4,,,,,,q1_q12_stellar
10663411,14.856,1,,,,,,q1_q12_stellar
10616656,12.138,1,,,,,,q1_q12_stellar
10666230,15.031,1,,,,,,q1_q12_stellar
10548411,13.845,1,,,,,,q1_q12_stellar
10591578,14.424,1,,,,,,q1_q12_stellar
10549023,14.612,1,,,,,,q1_q12_stellar
10551346,13.731,1,,,,,,q1_q12_stellar
10597693,14.756,1,,,,,,q1_q12_stellar
10526887,15.369,1,,,,,,q1_q12_stellar
10552611,13.448,2,,,,,,q1_q12_stellar
10647452,15.556,1,,,,,,q1_q12_stellar
10600955,14.872,1,,,,,,q1_q12_stellar
10601465,15.072,1,,,,,,q1_q12_stellar
10649230,12.770,1,,,,,,q1_q12_stellar
10556180,15.367,1,,,,,,q1_q12_stellar
10602291,14.877,1,,,,,,q1_q12_stellar
10651816,14.640,1,,,,,,q1_q12_stellar
10534155,13.404,1,,,,,,q1_q12_stellar
10535926,14.920,1,,,,,,q1_q12_stellar
10604592,14.793,1,,,,,,q1_q12_stellar
10610039,14.894,2,,,,,,q1_q12_stellar
10798838,14.822,1,,,,,,q1_q12_stellar
10684670,14.285,1,,,,,,q1_q12_stellar
10809677,13.942,1,,,,,,q1_q12_stellar
10734441,15.780,1,,,,,,q1_q12_stellar
10779233,13.328,1,,,,,,q1_q12_stellar
10810859,15.202,1,,,,,,q1_q12_stellar
10811496,15.436,1,,,,,,q1_q12_stellar
10710755,14.843,1,,,,,,q1_q12_stellar
10735519,11.780,1,,,,,,q1_q12_stellar
10735564,14.567,1,,,,,,q1_q12_stellar
10670112,13.543,1,,,,,,q1_q12_stellar
10717241,14.897,2,,,,,,q1_q12_stellar
10743600,17.206,1,,,,,,q1_q12_stellar
10793576,14.056,1,,,,,,q1_q12_stellar
10723750,14.274,2,,,,,,q1_q12_stellar
10847907,13.390,1,,,,,,q1_q12_stellar
10958972,13.789,1,,,,,,q1_q12_stellar
10920086,12.520,1,,,,,,q1_q12_stellar
10920420,12.521,1,,,,,,q1_q12_stellar
10964265,15.315,1,,,,,,q1_q12_stellar
10881457,15.169,1,,,,,,q1_q12_stellar
10964440,14.569,2,,,,,,q1_q12_stellar
10858785,15.868,1,,,,,,q1_q12_stellar
10904857,14.804,1,,,,,,q1_q12_stellar
10908248,14.131,1,,,,,,q1_q12_stellar
10863608,15.553,1,,,,,,q1_q12_stellar
10933561,12.848,2,,,,,,q1_q12_stellar
10842192,15.911,1,,,,,,q1_q12_stellar
10843590,14.262,2,,,,,,q1_q12_stellar
10935310,13.100,1,,,,,,q1_q12_stellar
10917433,12.419,1,,,,,,q1_q12_stellar
10979716,15.774,1,,,,,,q1_q12_stellar
11027270,11.299,1,,,,,,q1_q12_stellar
11092040,14.755,1,,,,,,q1_q12_stellar
11073656,15.198,1,,,,,,q1_q12_stellar
11093335,11.159,1,,,,,,q1_q12_stellar
11097752,12.117,1,,,,,,q1_q12_stellar
10991114,14.108,1,,,,,,q1_q12_stellar
11075279,13.460,1,,,,,,q1_q12_stellar
11075429,12.768,1,,,,,,q1_q12_stellar
11076400,14.288,1,,,,,,q1_q12_stellar
11080405,15.629,2,,,,,,q1_q12_stellar
10975146,14.285,1,,,,,,q1_q12_stellar
11018648,15.082,2,,,,,,q1_q12_stellar
11194032,13.933,1,,,,,,q1_q12_stellar
11133306,11.854,1,,,,,,q1_q12_stellar
11134879,14.332,1,,,,,,q1_q12_stellar
11177543,14.310,1,,,,,,q1_q12_stellar
11198419,15.841,1,,,,,,q1_q12_stellar
11198723,15.445,1,,,,,,q1_q12_stellar
