kepid,kepmag,nkoi,ntce,st_quarters,dutycycle,dataspan,st_delivname
10003058,14.744,1,1,,,,q1_q12_stellar
10002266,15.127,1,0,,,,q1_q12_stellar
10007916,14.829,1,0,,,,q1_q12_stellar
10014702,15.130,1,0,,,,q1_q12_stellar
10019065,15.004,1,1,,,,q1_q12_stellar
10028535,15.304,1,1,,,,q1_q12_stellar
10031643,14.478,1,0,,,,q1_q12_stellar
10031707,13.866,1,2,,,,q1_q12_stellar
10053138,13.717,1,0,,,,q1_q12_stellar
10068383,15.765,1,2,,,,q1_q12_stellar
10070479,15.590,1,0,,,,q1_q12_stellar
10074700,14.622,1,0,,,,q1_q12_stellar
10073672,15.794,1,1,,,,q1_q12_stellar
10079317,12.885,1,0,,,,q1_q12_stellar
10083325,13.421,1,0,,,,q1_q12_stellar
10090257,15.546,1,1,,,,q1_q12_stellar
10091110,15.232,2,3,,,,q1_q12_stellar
10095512,13.053,1,0,,,,q1_q12_stellar
10155080,13.017,1,0,,,,q1_q12_stellar
10155321,13.362,2,6,,,,q1_q12_stellar
10156110,14.826,1,0,,,,q1_q12_stellar
10157573,15.132,1,0,,,,q1_q12_stellar
10158418,13.592,1,0,,,,q1_q12_stellar
10158715,15.227,1,0,,,,q1_q12_stellar
10199817,12.152,1,0,,,,q1_q12_stellar
10200627,15.268,1,0,,,,q1_q12_stellar
10226420,14.784,1,1,,,,q1_q12_stellar
10187563,15.256,1,1,,,,q1_q12_stellar
10122255,14.609,1,1,,,,q1_q12_stellar
10149023,15.220,1,1,,,,q1_q12_stellar
10214328,10.629,1,0,,,,q1_q12_stellar
10189523,15.856,1,0,,,,q1_q12_stellar
10190075,14.528,1,1,,,,q1_q12_stellar
10215869,14.115,1,2,,,,q1_q12_stellar
10125352,13.396,1,0,,,,q1_q12_stellar
10191070,15.825,1,0,,,,q1_q12_stellar
10328458,15.848,1,1,,,,q1_q12_stellar
10330495,14.724,1,0,,,,q1_q12_stellar
10358759,15.282,2,2,,,,q1_q12_stellar
10266860,13.422,1,0,,,,q1_q12_stellar
10272640,15.439,1,1,,,,q1_q12_stellar
10294509,15.699,1,1,,,,q1_q12_stellar
10274244,11.544,1,0,,,,q1_q12_stellar
10340423,15.962,3,3,,,,q1_q12_stellar
10275074,14.182,1,1,,,,q1_q12_stellar
10341777,13.087,1,1,,,,q1_q12_stellar
10342316,15.318,1,1,,,,q1_q12_stellar
10319834,14.942,1,0,,,,q1_q12_stellar
10350571,13.290,3,2,,,,q1_q12_stellar
1025986,10.150,1,0,,,,q1_q12_stellar
10493253,12.393,1,0,,,,q1_q12_stellar
10470206,13.893,1,1,,,,q1_q12_stellar
10470779,14.712,1,0,,,,q1_q12_stellar
10471055,15.024,1,0,,,,q1_q12_stellar
10471621,15.439,2,1,,,,q1_q12_stellar
