koi_id,npl,lcq_count,scq_count,total_count,runtime_score,bad_download
K00001,1,0,15,15,16170,0
K00002,1,0,18,18,21750,0
K00003,1,1,14,15,7634,0
K00004,1,11,4,15,3021,0
K00005,1,2,16,18,8943,0
K00007,1,5,10,15,8418,0
K00010,1,7,11,18,8499,0
K00012,1,1,17,18,2526,0
K00013,1,5,13,18,19903,0
K00017,1,7,8,15,6784,0
K00018,1,7,11,18,8425,0
K00020,1,6,9,15,5520,0
K00022,1,6,12,18,4107,0
K00041,3,3,15,18,10091,0
K00042,1,2,16,18,2383,0
K00046,2,13,4,17,5343,0
K00049,1,13,4,17,1416,0
K00063,1,2,16,18,4525,0
K00064,1,4,14,18,19315,0
K00069,1,2,16,18,9050,0
K00070,5,2,15,17,23663,0
K00072,2,2,13,15,42362,0
K00075,1,2,16,18,401,0
K00076,1,11,7,18,245,0
K00080,1,13,5,18,1557,0
K00082,5,2,16,18,22493,0
K00084,1,4,14,18,4051,0
K00085,3,3,15,18,30476,0
K00087,1,3,15,18,125,0
K00089,2,8,10,18,427,0
K00092,1,6,12,18,488,0
K00094,4,1,8,9,9050,0
K00097,1,12,6,18,3488,0
K00098,1,7,11,18,4399,0
K00100,1,6,12,18,3253,0
K00102,2,5,12,17,26645,0
K00103,1,3,15,18,2692,0
K00104,1,8,10,18,10899,0
K00105,1,6,12,18,3619,0
K00107,1,12,6,18,2346,0
K00108,2,7,11,18,2022,0
K00110,1,13,5,18,1448,0
K00111,3,3,15,18,5964,0
K00112,2,13,5,18,4183,0
K00115,3,6,12,18,20008,0
K00116,4,3,15,18,12029,0
K00117,4,4,11,15,21108,0
K00118,1,12,6,18,682,0
K00119,2,12,5,17,352,0
K00122,1,3,15,18,3473,0
K00123,2,5,13,18,7044,0
K00124,2,9,9,18,2728,0
K00125,1,11,6,17,438,0
K00126,1,4,14,18,43059,0
K00127,1,12,5,17,4021,0
K00128,1,12,5,17,2906,0
K00129,2,15,3,18,437,0
K00131,1,14,3,17,1841,0
K00134,1,12,5,17,209,0
K00135,1,6,11,17,9862,0
K00137,3,3,15,18,19428,0
K00139,2,7,11,18,9080,0
K00141,1,8,9,17,9402,0
K00142,1,4,14,18,3439,0
K00144,1,5,9,14,5833,0
K00148,3,4,14,18,12625,0
K00149,1,11,6,17,1157,0
K00150,2,8,9,17,3777,0
K00151,1,12,5,17,1067,0
K00152,4,2,15,17,5689,0
K00153,2,5,13,18,11301,0
K00155,1,13,5,18,2553,0
K00156,3,3,14,17,15078,0
K00157,6,2,15,17,11140,0
K00159,2,13,5,18,7624,0
K00161,1,5,12,17,10434,0
K00162,1,12,5,17,1019,0
K00163,1,12,5,17,1286,0
K00165,1,12,5,17,1086,0
K00166,1,13,5,18,1159,0
K00167,1,13,5,18,2943,0
K00168,3,3,15,18,12004,0
K00171,2,12,5,17,3506,0
K00172,2,11,6,17,1303,0
K00173,1,12,5,17,1429,0
K00174,1,5,9,14,432,0
K00176,1,13,5,18,470,0
K00177,1,13,5,18,679,0
K00179,2,10,4,14,575,0
K00180,1,13,5,18,1439,0
K00183,1,11,6,17,6314,0
K00185,1,12,2,14,272,0
K00186,1,12,5,17,4431,0
K00188,1,13,4,17,3105,0
K00189,1,10,4,14,371,0
K00191,4,5,9,14,46808,0
K00192,1,13,4,17,1142,0
K00194,1,9,8,17,7089,0
K00195,1,12,5,17,4469,0
K00196,1,13,4,17,6368,0
K00197,1,13,4,17,680,0
K00199,1,13,4,17,3614,0
K00200,1,13,4,17,1603,0
K00201,1,13,4,17,2793,0
K00202,1,13,4,17,6869,0
K00203,1,3,11,14,19908,0
K00204,1,13,4,17,3637,0
K00205,1,13,4,17,1001,0
K00206,1,13,4,17,2214,0
K00208,1,11,3,14,2986,0
K00209,2,3,14,17,2712,0
K00210,1,13,4,17,563,0
K00211,1,12,5,17,114,0
K00212,1,7,2,9,1042,0
K00214,1,7,7,14,5812,0
K00216,2,17,0,17,274,0
K00217,1,11,6,17,4336,0
K00219,1,17,0,17,188,0
K00220,2,17,0,17,989,0
K00221,2,16,1,17,1888,0
K00222,2,12,5,17,3402,0
K00223,2,12,5,17,4869,0
K00226,1,15,2,17,798,0
K00227,1,5,8,13,1225,0
K00229,1,15,2,17,1861,0
K00232,5,5,12,17,11100,0
K00234,1,15,2,17,692,0
K00235,1,15,2,17,1182,0
K00237,1,15,2,17,780,0
K00238,3,13,4,17,1150,0
K00239,2,14,3,17,4184,0
K00240,1,15,2,17,1552,0
K00241,3,12,2,14,2540,0
K00244,2,4,14,18,8974,0
K00245,4,5,13,18,5815,0
K00246,2,4,14,18,10882,0
K00247,1,9,5,14,1022,0
K00248,4,5,12,17,21771,0
K00249,1,10,7,17,2044,0
K00250,4,5,12,17,14342,0
K00251,2,6,8,14,9014,0
K00252,1,6,11,17,1680,0
K00253,2,5,9,14,4989,0
K00254,1,6,11,17,12155,0
K00255,2,6,11,17,3261,0
K00257,1,4,10,14,3908,0
K00260,3,5,13,18,5266,0
K00261,1,6,12,18,1992,0
K00262,2,6,12,18,7604,0
K00265,1,13,5,18,4056,0
K00266,2,16,2,18,405,0
K00268,1,14,4,18,104,0
K00269,1,5,13,18,1931,0
K00270,2,13,4,17,1283,0
K00271,3,8,10,18,3353,0
K00272,1,15,0,15,1040,0
K00273,1,7,11,18,2827,0
K00274,2,5,13,18,3862,0
K00275,2,12,3,15,680,0
K00276,1,6,12,18,772,0
K00277,2,6,12,18,4331,0
K00279,3,5,13,18,8141,0
K00280,1,4,14,18,3156,0
K00281,1,6,12,18,1647,0
K00282,3,10,8,18,3680,0
K00283,3,5,13,18,7219,0
K00284,4,7,7,14,7347,0
K00285,3,14,4,18,1540,0
K00288,1,7,11,18,2901,0
K00289,2,16,2,18,274,0
K00291,2,13,2,15,1002,0
K00292,1,7,8,15,8480,0
K00294,1,13,2,15,184,0
K00295,2,12,3,15,2590,0
K00296,1,13,2,15,223,0
K00297,1,8,7,15,3415,0
K00298,2,15,3,18,624,0
K00299,1,6,12,18,21085,0
K00301,2,16,2,18,1709,0
K00302,1,6,9,15,975,0
K00303,1,15,3,18,151,0
K00304,2,7,11,18,8911,0
K00305,1,5,12,17,7042,0
