,id_starname,id_kic,id_koicand,id_kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,kic_kepmag,kic_jmag,kic_hmag,kic_kmag,cks_fp,cks_steff,cks_steff_err1,cks_steff_err2,cks_slogg,cks_slogg_err1,cks_slogg_err2,cks_smet,cks_smet_err1,cks_smet_err2,cks_svsini,cks_svsini_err1,cks_svsini_err2,iso_steff,iso_steff_err1,iso_steff_err2,iso_slogg,iso_slogg_err1,iso_slogg_err2,iso_smet,iso_smet_err1,iso_smet_err2,iso_srad,iso_srad_err1,iso_srad_err2,iso_smass,iso_smass_err1,iso_smass_err2,iso_sage,iso_sage_err1,iso_sage_err2,iso_slogage,iso_slogage_err1,iso_slogage_err2,iso_sparallax,iso_sparallax_err1,iso_sparallax_err2,iso_prad,iso_prad_err1,iso_prad_err2,iso_sma,iso_sma_err1,iso_sma_err2,iso_insol,iso_insol_err1,iso_insol_err2,iso_teq,iso_teq_err1,iso_teq_err2,exo_quadld_u1,exo_quadld_u2
21,K00070,6850504,K00070.01,Kepler-20 c,CONFIRMED,10.854097835,4.4E-06,-4.4E-06,2454971.608,0.000332,-0.000332,0.4384,0.0097,-0.4058,3.7747,0.0206,-0.0206,,,,1051,4.1,-4.1,0.029956,0.001821,-0.000609,1.38033,0.37992,-0.77306,3.03,0.53,-0.24,0.0919,,,765,,,80.88,40.3,-16.96,20.49,5.6,-5.6,195.4274,279.8,5,,5465,110,-96,4.449,0.075,-0.13,0.02,0.16,-0.14,0.925,0.163,-0.073,0.876,0.062,-0.041,,,,stellar_q1_q16,12.498,11.252,10.91,10.871,False,5507.7,60,-60,4.469,0.1,-0.1,0.108,0.04,-0.04,0,1,-1,5507,64,-65,4.452,0.065,-0.082,0.103,0.042,-0.042,0.949,0.0900235546954,-0.0619777411657,0.934,0.0336592097352,-0.0336592097352,7.41310241301,3.87858417705,-4.09236311248,9.87,0.182758815446,-0.348765217984,3.37,0.24,-0.29,3.10098924285,0.277415783781,-0.277415783781,0.0938137046701,0.00156414005621,-0.00156414005621,84.4419050191,14.3651285864,-14.3651285864,772.508081932,32.8589216181,-32.8589216181,0.4586845200,0.2301847100
22,K00070,6850504,K00070.02,Kepler-20 b,CONFIRMED,3.696119675,2.31E-06,-2.31E-06,2454967.502,0.000523,-0.000523,0.8424,0.0077,-0.5999,2.5474,0.0403,-0.0403,,,,396.7,3,-3,0.020874,0.001408,-0.002266,0.37253,1.35869,-0.06485,2.11,0.37,-0.17,0.0448,,,1095,,,340.33,169.57,-71.36,6.46,2.9,-2.9,104.65924,145.1,5,,5465,110,-96,4.449,0.075,-0.13,0.02,0.16,-0.14,0.925,0.163,-0.073,0.876,0.062,-0.041,,,,stellar_q1_q16,12.498,11.252,10.91,10.871,False,5507.7,60,-60,4.469,0.1,-0.1,0.108,0.04,-0.04,0,1,-1,5507,64,-65,4.452,0.065,-0.082,0.103,0.042,-0.042,0.949,0.0900235546954,-0.0619777411657,0.934,0.0336592097352,-0.0336592097352,7.41310241301,3.87858417705,-4.09236311248,9.87,0.182758815446,-0.348765217984,3.37,0.24,-0.29,2.15716558913,0.256781335754,-0.256781335754,0.0457584980386,0.000772052179647,-0.000772052179647,355.352832389,60.2505467879,-60.2505467879,1106.44153745,46.6927975824,-46.6927975824,0.4586845200,0.2301847100
23,K00070,6850504,K00070.03,Kepler-20 d,CONFIRMED,77.6115987,0.0001357,-0.0001357,2454997.727,0.0015,-0.0015,0.1206,0.2677,-0.1206,7.2566,0.0459,-0.0459,,,,827.5,8,-8,0.025923,0.000539,-0.000257,1.81167,0.07611,-0.37265,2.62,0.46,-0.21,0.3411,,,397,,,5.87,2.93,-1.23,83.25,3.5,-3.5,73.56477,106.3,5,,5465,110,-96,4.449,0.075,-0.13,0.02,0.16,-0.14,0.925,0.163,-0.073,0.876,0.062,-0.041,,,,stellar_q1_q16,12.498,11.252,10.91,10.871,False,5507.7,60,-60,4.469,0.1,-0.1,0.108,0.04,-0.04,0,1,-1,5507,64,-65,4.452,0.065,-0.082,0.103,0.042,-0.042,0.949,0.0900235546954,-0.0619777411657,0.934,0.0336592097352,-0.0336592097352,7.41310241301,3.87858417705,-4.09236311248,9.87,0.182758815446,-0.348765217984,3.37,0.24,-0.29,2.68703216927,0.219741719921,-0.219741719921,0.348344025927,0.0057797945948,-0.0057797945948,6.13488331345,1.05288968406,-1.05288968406,401.06531309,17.1399610494,-17.1399610494,0.4586845200,0.2301847100
24,K00070,6850504,K00070.05,Kepler-20 f,CONFIRMED,19.5776286,0.000124,-0.000124,2454968.206,0.00524,-0.00524,0.3268,0.1317,-0.3267,3.744,0.151,-0.151,,,,115.6,5.7,-5.7,0.009811,0.000402,-0.000317,2.74647,1.24978,-0.58136,0.99,0.18,-0.08,0.1362,,,628,,,36.82,18.35,-7.72,38.2,17.4,-17.4,13.279935,23,5,,5465,110,-96,4.449,0.075,-0.13,0.02,0.16,-0.14,0.925,0.163,-0.073,0.876,0.062,-0.041,,,,stellar_q1_q16,12.498,11.252,10.91,10.871,False,5507.7,60,-60,4.469,0.1,-0.1,0.108,0.04,-0.04,0,1,-1,5507,64,-65,4.452,0.065,-0.082,0.103,0.042,-0.042,0.949,0.0900235546954,-0.0619777411657,0.934,0.0336592097352,-0.0336592097352,7.41310241301,3.87858417705,-4.09236311248,9.87,0.182758815446,-0.348765217984,3.37,0.24,-0.29,1.0161155232,0.0870208190509,-0.0870208190509,0.139043286898,0.00232804735797,-0.00232804735797,38.4863301151,6.44068012502,-6.44068012502,634.7316453,26.4338024955,-26.4338024955,0.4586845200,0.2301847100
25,K00070,6850504,K00070.04,Kepler-20 e,CONFIRMED,6.09853672,2.838E-05,-2.838E-05,2454968.93,0.00391,-0.00391,0.5636,0.3768,-0.3588,2.881,0.111,-0.111,,,,74.8,3.6,-3.6,0.008166,0.001752,-0.0004,1.26256,0.77232,-1.14952,0.82,0.15,-0.06,0.0626,,,927,,,174.3,86.85,-36.54,13.54,4.1,-4.1,16.601109,23.3,5,,5465,110,-96,4.449,0.075,-0.13,0.02,0.16,-0.14,0.925,0.163,-0.073,0.876,0.062,-0.041,,,,stellar_q1_q16,12.498,11.252,10.91,10.871,False,5507.7,60,-60,4.469,0.1,-0.1,0.108,0.04,-0.04,0,1,-1,5507,64,-65,4.452,0.065,-0.082,0.103,0.042,-0.042,0.949,0.0900235546954,-0.0619777411657,0.934,0.0336592097352,-0.0336592097352,7.41310241301,3.87858417705,-4.09236311248,9.87,0.182758815446,-0.348765217984,3.37,0.24,-0.29,0.843828292821,0.130189961563,-0.130189961563,0.0638696820703,0.00106034392069,-0.00106034392069,182.103796573,31.0102032132,-31.0102032132,936.145332172,39.6950187726,-39.6950187726,0.4586845200,0.2301847100
40,K00094,6462863,K00094.04,Kepler-89 b,CONFIRMED,3.743175556,9.096E-06,-9.096E-06,2454964.619,0.00199,-0.00199,0.6516,0.2133,-0.4338,3.7301,0.0572,-0.0572,,,,128.6,3,-3,0.010942,0.001009,-0.000531,0.28838,0.31639,-0.00163,1.55,0.32,-0.24,0.0485,,,1391,,,885.02,494.57,-301.95,5.98,2.2,-2.2,32.888603,49.8,4,,6098,101,-127,4.247,0.13,-0.137,-0.02,0.12,-0.16,1.297,0.27,-0.199,1.081,0.103,-0.075,,,,stellar_q1_q16,12.205,11.218,10.957,10.926,False,6181.2,60,-60,4.234,0.1,-0.1,0.07,0.04,-0.04,7.4,1,-1,6171,66,-53,4.243,0.093,-0.105,0.064,0.041,-0.041,1.37,0.211779980168,-0.152481998938,1.191,0.0692271074074,-0.0482844944056,3.50751873953,0.774096247676,-0.950392610232,9.545,0.0866076119427,-0.137247850031,2.14,0.27,-0.29,1.62954611243,0.249205423961,-0.249205423961,0.050048533133,0.000844289553667,-0.000844289553667,981.239196783,269.552367647,-269.552367647,1426.28806532,97.6577223101,-97.6577223101,0.3358345700,0.2987030300
41,K00094,6462863,K00094.02,Kepler-89 c,CONFIRMED,10.423677765,7.163E-06,-7.163E-06,2454971.009,0.000582,-0.000582,0.127,0.2594,-0.127,5.2291,0.0237,-0.0237,,,,795.1,4.3,-4.3,0.025851,0.000369,-0.000148,0.65005,0.03054,-0.13397,3.66,0.76,-0.56,0.096,,,989,,,225.89,126.23,-77.07,15.514,0.729,-0.729,143.96613,217.7,4,,6098,101,-127,4.247,0.13,-0.137,-0.02,0.12,-0.16,1.297,0.27,-0.199,1.081,0.103,-0.075,,,,stellar_q1_q16,12.205,11.218,10.957,10.926,False,6181.2,60,-60,4.234,0.1,-0.1,0.07,0.04,-0.04,7.4,1,-1,6171,66,-53,4.243,0.093,-0.105,0.064,0.041,-0.041,1.37,0.211779980168,-0.152481998938,1.191,0.0692271074074,-0.0482844944056,3.50751873953,0.774096247676,-0.950392610232,9.545,0.0866076119427,-0.137247850031,2.14,0.27,-0.29,3.85105210707,0.518441747826,-0.518441747826,0.0990501425989,0.00165633858252,-0.00165633858252,247.987259612,68.8213829054,-68.8213829054,1011.27871968,69.607693079,-69.607693079,0.3358345700,0.2987030300
42,K00094,6462863,K00094.03,Kepler-89 e,CONFIRMED,54.31998605,3.603E-05,-3.603E-05,2454994.24,0.000572,-0.000572,0.0352,0.1117,-0.0351,8.4652,0.0169,-0.0169,,,,1996.2,7.1,-7.1,0.040903,0.000134,-7.3E-05,0.85049,0.00124,-0.04367,5.79,1.21,-0.89,0.2885,,,570,,,25.01,13.98,-8.53,51.0008,0.0744,-0.0744,171.5813,308.6,4,,6098,101,-127,4.247,0.13,-0.137,-0.02,0.12,-0.16,1.297,0.27,-0.199,1.081,0.103,-0.075,,,,stellar_q1_q16,12.205,11.218,10.957,10.926,False,6181.2,60,-60,4.234,0.1,-0.1,0.07,0.04,-0.04,7.4,1,-1,6171,66,-53,4.243,0.093,-0.105,0.064,0.041,-0.041,1.37,0.211779980168,-0.152481998938,1.191,0.0692271074074,-0.0482844944056,3.50751873953,0.774096247676,-0.950392610232,9.545,0.0866076119427,-0.137247850031,2.14,0.27,-0.29,6.11575990228,0.801286704609,-0.801286704609,0.297535733257,0.00496448150144,-0.00496448150144,27.6821342913,7.48024887086,-7.48024887086,584.538901187,39.2504012264,-39.2504012264,0.3358345700,0.2987030300
43,K00094,6462863,K00094.01,Kepler-89 d,CONFIRMED,22.342969585,3.313E-06,-3.313E-06,2454965.742,0.000129,-0.000129,0.0056,0.0468,-0.0056,6.68603,0.00386,-0.00386,,,,5675.2,5.3,-5.3,0.068974,4.5E-05,-3.3E-05,0.77072,0.00167,-0.00434,9.77,2.03,-1.5,0.1596,,,767,,,81.73,45.67,-27.89,27.2965,0.0592,-0.0592,752.18005,1211.1,4,,6098,101,-127,4.247,0.13,-0.137,-0.02,0.12,-0.16,1.297,0.27,-0.199,1.081,0.103,-0.075,,,,stellar_q1_q16,12.205,11.218,10.957,10.926,False,6181.2,60,-60,4.234,0.1,-0.1,0.07,0.04,-0.04,7.4,1,-1,6171,66,-53,4.243,0.093,-0.105,0.064,0.041,-0.041,1.37,0.211779980168,-0.152481998938,1.191,0.0692271074074,-0.0482844944056,3.50751873953,0.774096247676,-0.950392610232,9.545,0.0866076119427,-0.137247850031,2.14,0.27,-0.29,10.2998756201,1.37993536944,-1.37993536944,0.164565505696,0.00274049939404,-0.00274049939404,90.23563195,24.8970858021,-24.8970858021,785.431006793,53.9333091681,-53.9333091681,0.3358345700,0.2987030300
67,K00116,8395660,K00116.02,Kepler-106 e,CONFIRMED,43.84444353,9.688E-05,-9.688E-05,2454984.934,0.00189,-0.00189,0.4969,0.3219,-0.3095,6.4175,0.059,-0.059,,,,600.3,8.1,-8.1,0.022959,0.002246,-0.000529,1.00059,0.49595,-0.02779,2.58,0.47,-0.25,0.2388,,,538,,,19.88,10.01,-4.96,46.7,23.1,-23.1,68.27071,79.1,4,,5881,112,-120,4.388,0.087,-0.142,-0.16,0.16,-0.14,1.029,0.186,-0.1,0.944,0.072,-0.064,,,,stellar_q1_q16,12.882,11.752,11.494,11.431,False,5859.8,60,-60,4.361,0.1,-0.1,-0.088,0.04,-0.04,0.6,1,-1,5862,64,-64,4.372,0.072,-0.084,-0.08,0.043,-0.043,1.074,0.119939111219,-0.0857344178262,0.994,0.0385255032414,-0.0351598407277,6.06736329589,1.41451013072,-2.11960416762,9.783,0.0910103568175,-0.186649353585,2.22,0.19,-0.22,2.69028057864,0.307517687023,-0.307517687023,0.242957093586,0.00404069193132,-0.00404069193132,20.7686024203,4.15881917133,-4.15881917133,544.020598948,27.2094205506,-27.2094205506,0.3746523000,0.2772098800
