planet_name,disposition,koi_id,kic_id,npl,kep_mag,mstar,mstar_err1,mstar_err2,rstar,rstar_err1,rstar_err2,limbdark_1,limbdark_2,pmass,prad,epoch,period,impact,depth,duration,ttv_type
S01879.01,SIMULATED,K01879,8367644,1,15.967,0.5650705199205448,0.015,-0.016,0.5667877404939886,0.018,-0.018,0.5825,0.163,0.0,3.34,16.37111033000042,22.085515989999994,0.12670586941284856,2918.708206288061,3.4635209051362756,linear
S01210.01,SIMULATED,K01210,3962357,1,14.377,1.357464441747087,0.044,-0.047,1.2838018450022657,0.044,-0.043,0.3236,0.3052,0.0,3.45,12.126794369999725,14.553874880000002,0.7898327574673903,606.9890278350913,3.1517152710945378,linear
S05398.01,SIMULATED,K05398,7539277,1,14.465,1.117434700760426,0.05,-0.059,1.0729269364886171,0.031,-0.03,0.4165,0.2553,0.0,2.1,526.4633991299999,551.2239599999999,0.6327574651550383,321.9859590337474,11.91661668721716,linear
S01328.01,SIMULATED,K01328,4074736,1,15.671,0.8478496989910457,0.08,-0.088,0.8561032412107337,0.151,-0.054,0.398,0.2665,0.0,5.04,49.08418981000018,80.96695609999998,0.8551938274113132,2913.046598114741,3.6817488044949487,linear
S02402.01,SIMULATED,K02402,8481129,1,14.61,0.776114824421007,0.037,-0.028,0.7560134734652783,0.014,-0.014,0.6441,0.0989,0.0,1.54,13.45923062000065,16.30127269999999,0.00719990171122642,348.7554574144201,3.786404197301042,linear
S01552.01,SIMULATED,K01552,7984047,1,15.915,0.7577164929331679,0.037,-0.037,0.7638650165273547,0.02,-0.019,0.627,0.1082,0.0,9.4,76.96359324000018,77.63424586,0.15002028910796295,12728.027570003524,6.4150399787027235,linear
S02689.01,SIMULATED,K02689,10265602,1,15.548,0.9999180442376883,0.073,-0.069,1.4338612525148435,0.08,-0.075,0.398,0.2665,0.0,6.98,111.14229942000013,165.34470439999993,0.21056005164924185,1991.7518488622616,13.966212924529534,linear
S04978.01,SIMULATED,K04978,3428127,1,15.278,0.8788964441067428,0.126,-0.065,1.2343934770484826,0.385,-0.133,0.4379,0.2419,0.0,2.75,170.68195993,339.1899799999998,0.20276314928897865,417.15436564333083,15.97531055174154,linear
S01274.01,SIMULATED,K01274,8800954,1,13.354,0.8698920792791185,0.048,-0.036,0.7987635686625443,0.015,-0.015,0.4744,0.218,0.0,4.53,223.50917006999987,704.9626259999999,0.1620806468853604,2703.3267899320967,13.339756911011781,linear
S02471.01,SIMULATED,K02471,5436013,1,14.556,0.7315821537572493,0.057,-0.054,0.8511811343075871,0.02,-0.019,0.5167,0.1914,0.0,1.66,17.726378439999866,25.885939699999994,0.45236476136248505,319.6765937221473,4.52393122900742,linear
S00296.01,SIMULATED,K00296,11802615,1,12.935,1.1729045477290176,0.066,-0.069,1.0592051716300668,0.024,-0.023,0.3928,0.2676,0.0,2.53,23.1490834600003,28.86236570999999,0.6408049135686539,479.53410346507275,4.2934561151568,linear
S02005.01,SIMULATED,K02005,6665512,1,14.832,0.8109723799140215,0.017,-0.014,0.8640412633715085,0.015,-0.015,0.6414,0.0966,0.0,1.48,1.5006516600000406,6.921014520000002,0.6141572352690854,246.60001904306787,2.5295542485008093,linear
S02827.01,SIMULATED,K02827,7428736,1,14.572,0.8597468694286716,0.038,-0.048,0.7717299303182015,0.017,-0.017,0.4767,0.2175,0.0,1.21,2.6881851500003973,7.063219269999998,0.4219384774350886,206.62301488396707,2.562793752625455,linear
S01582.01,SIMULATED,K01582,4918309,1,15.402,0.8331972893519439,0.064,-0.053,1.0873233674999736,0.045,-0.043,0.4641,0.2286,0.0,8.60069008080525,75.70838602000005,186.4361810999999,0.49462692703973155,5258.813819066178,10.414429190842935,linear
S04451.01,SIMULATED,K04451,10120548,1,15.945,0.7576517288394131,0.04,-0.037,0.7210800688024314,0.024,-0.024,0.5508,0.1646,0.0,1.32,7.802650760000323,8.830368099999994,0.5770323064803287,281.65633312586033,2.423840091284127,linear
S03284.01,SIMULATED,K03284,6497146,1,14.467,0.6328722819318093,0.014,-0.014,0.6274840431552486,0.018,-0.018,0.5308,0.2107,0.0,0.97,16.20818424000023,35.2330694,0.529950232337954,200.85226683020926,3.6883736477321283,linear
S00273.01,SIMULATED,K00273,3102384,1,11.457,1.148516121995108,0.06,-0.065,1.1084018304765857,0.021,-0.019,0.4282,0.2514,0.0,2.07,1.849039460464041,10.57375144700065,0.9412154623245569,293.1466015446814,1.424535169275948,linear
S00297.01,SIMULATED,K00297,11905011,1,12.182,1.2459318816457912,0.062,-0.074,1.3366646376495313,0.033,-0.029,0.3879,0.2821,0.0,2.03,0.5667553899996371,5.651789220000001,0.9406008637957832,193.85892495385556,1.3637079402379124,linear
S05817.01,SIMULATED,K05817,10658177,1,13.336,1.2318891695850072,0.065,-0.071,1.3706469357663964,0.032,-0.031,0.3589,0.2891,0.0,1.59,60.87598431000005,113.08352199999999,0.8917595665538326,113.10497058633881,5.078936032509911,linear
S02757.01,SIMULATED,K02757,6432345,1,14.607,0.9040611492912995,0.048,-0.057,0.8786741863618766,0.021,-0.019,0.4526,0.2327,0.0,2.56,83.02635213999989,234.63565200000005,0.25388343795613,713.4488402257193,9.840912555439163,linear
S04535.02,SIMULATED,K04535,3547760,1,14.791,0.925733684324017,0.058,-0.045,0.8678692407098566,0.045,-0.043,0.4465,0.2382,0.0,0.78,1.6259212399994365,5.789019360000002,0.4268763725483763,67.89210190309355,2.6247510666961524,linear
S04667.01,SIMULATED,K04667,8359569,1,15.408,1.1570607990530122,0.054,-0.065,1.1162317313579613,0.048,-0.045,0.2947,0.3103,0.0,2.45,89.17275010999998,152.82389599999996,0.4746025495547449,404.9133371894365,9.082896811171029,linear
S02401.01,SIMULATED,K02401,10336951,1,14.847,0.8440786942702493,0.02,-0.015,0.886994536761748,0.017,-0.016,0.6414,0.0966,0.0,1.51,36.72253877000072,38.22920369999997,0.8290086601913697,243.5850591282583,3.209693068938151,linear
