planet_name,disposition,koi_id,kic_id,npl,kep_mag,mstar,mstar_err1,mstar_err2,rstar,rstar_err1,rstar_err2,logrho,logrho_err1,logrho_err2,limbdark_1,limbdark_2,pmass,prad,period,epoch,impact,ecc,omega,depth,duration,ror,dor,snr,ttv_type
S01732.01,SIMULATED,K01732,6869184,1,15.737,0.869,0.089,-0.097,0.901,0.169,-0.061,0.224,0.167,-0.089,0.373,0.279,nan,2.42,43.31674,33.39591,0.244,0.178,-1.582,606,7.171,0.025,54.955,15.475,linear
S03483.01,SIMULATED,K03483,3101923,1,14.872,1.116,0.071,-0.087,1.343,0.204,-0.167,-0.187,0.131,-0.15,0.373,0.283,nan,2.08,82.33176,19.30277,0.109,0.066,1.276,201,9.677,0.014,61.514,7.296,linear
S02044.01,SIMULATED,K02044,9656252,1,15.818,1.058,0.051,-0.072,0.804,0.147,-0.063,0.457,0.12,-0.068,0.419,0.256,nan,3.4,16.92342,3.96276,0.461,0.04,2.294,1501,3.321,0.039,35.134,44.258,linear
S04820.01,SIMULATED,K04820,9969287,1,15.479,1.134,0.129,-0.142,0.917,0.266,-0.095,0.316,0.203,-0.115,0.351,0.289,nan,2.275,14.74011,9.97959,0.567,0.083,-0.792,517,3.53,0.023,28.764,15.681,linear
S00777.01,SIMULATED,K00777,11818800,1,15.487,0.742,0.104,-0.037,0.682,0.116,-0.095,0.518,0.125,-0.132,0.398,0.266,nan,7.51,40.4195,36.86784,0.242,0.187,-0.766,10186,5.689,0.101,65.787,180.031,linear
S02305.01,SIMULATED,K02305,10874215,1,15.728,1.029,0.112,-0.137,0.902,0.257,-0.086,0.296,0.202,-0.106,0.41,0.26,nan,2.64,31.0326,16.28817,0.05,0.181,-0.131,719,5.266,0.027,46.516,17.506,linear
S02024.01,SIMULATED,K02024,4544907,1,14.632,0.961,0.055,-0.045,1.173,0.13,-0.087,-0.076,0.108,-0.091,0.47,0.224,nan,2.62,46.87767,26.0075,0.05,0.188,-1.749,419,9.558,0.02,46.016,26.464,linear
S02159.01,SIMULATED,K02159,8804455,1,13.482,1.055,0.078,-0.057,1.037,0.163,-0.147,0.125,0.122,-0.149,0.404,0.262,nan,1.587,7.5967,7.50418,0.212,0.276,0.723,196,2.932,0.014,15.964,33.43,linear
S07157.01,SIMULATED,K07157,9301564,1,13.863,0.86,0.125,-0.091,0.507,0.362,-0.399,0.969,0.205,-0.47,0.387,0.271,nan,1.675,23.98305,7.69845,0.145,0.012,2.225,918,2.82,0.03,65.675,74.064,linear
S07320.01,SIMULATED,K07320,10396708,1,14.755,0.69,0.088,-0.047,0.651,0.062,-0.069,0.548,0.081,-0.103,0.551,0.165,nan,3.427,8.50208,1.58261,0.925,0.218,-1.07,2331,1.626,0.048,23.804,188.309,linear
