planet_name,disposition,koi_id,kic_id,npl,kep_mag,mstar,mstar_err1,mstar_err2,rstar,rstar_err1,rstar_err2,logrho,logrho_err1,logrho_err2,limbdark_1,limbdark_2,pmass,prad,period,epoch,impact,ecc,omega,depth,duration,ror,dor,snr,ttv_type
S00349.01,SIMULATED,K00349,11394027,1,13.586,1.081,0.074,-0.056,0.975,0.158,-0.143,0.216,0.12,-0.147,0.404,0.262,nan,2.125,9.02656,7.84214,0.673,0.25,2.437,398,2.295,0.02,19.202,61.7,linear
S08183.01,SIMULATED,K08183,9468848,1,13.811,1.026,0.14,-0.14,1.135,0.31,-0.097,-0.005,0.231,-0.118,0.345,0.292,nan,1.17,19.7191,0.64256,0.703,0.526,4.513,89,7.022,0.009,27.287,9.3,linear
S06246.01,SIMULATED,K06246,11856178,1,11.767,1.227,0.139,-0.125,0.883,0.322,-0.101,0.4,0.235,-0.118,0.345,0.292,nan,1.077,1.46538,0.5582,0.565,0.526,2.719,124,1.004,0.011,6.581,23.0,linear
S02890.01,SIMULATED,K02890,7463685,1,15.257,1.192,0.131,-0.131,0.751,0.279,-0.093,0.599,0.221,-0.118,0.345,0.292,nan,1.115,24.85625,20.11125,0.025,0.614,5.809,185,4.171,0.014,50.632,14.5,linear
S00689.01,SIMULATED,K00689,8361905,1,13.766,0.724,0.088,-0.08,0.85,0.162,-0.058,0.221,0.169,-0.087,0.356,0.286,nan,1.222,21.98539,16.3316,0.465,0.035,3.407,173,4.372,0.013,34.898,38.4,linear
S01990.01,SIMULATED,K01990,11614617,1,14.49,0.788,0.141,-0.128,1.047,0.285,-0.095,-0.014,0.214,-0.112,0.345,0.292,nan,1.985,10.00526,7.29082,0.594,0.592,5.238,302,6.055,0.017,17.247,37.6,linear
S00042.01,SIMULATED,K00042,8866102,1,9.364,1.167,0.068,-0.093,1.443,0.067,-0.074,-0.262,0.047,-0.06,0.297,0.312,nan,1.922,25.39363,14.50058,0.807,0.481,2.318,149,2.897,0.012,26.525,154.5,linear
S00261.01,SIMULATED,K00261,5383248,1,10.297,0.935,0.067,-0.061,0.941,0.15,-0.087,0.2,0.122,-0.093,0.404,0.262,nan,2.207,12.51705,5.81701,0.756,0.87,1.563,462,0.735,0.022,23.583,125.8,linear
S02915.01,SIMULATED,K02915,5613821,1,13.346,0.906,0.057,-0.063,0.931,0.121,-0.06,0.199,0.109,-0.07,0.404,0.262,nan,1.121,27.70901,26.76501,0.646,0.871,4.069,121,6.663,0.011,40.041,15.7,linear
S07093.01,SIMULATED,K07093,8807057,1,13.65,1.156,0.185,-0.152,0.798,0.389,-0.13,0.505,0.235,-0.127,0.295,0.31,nan,1.31,14.02327,12.93588,0.786,0.735,3.63,226,2.214,0.015,32.162,9.0,linear
S02958.01,SIMULATED,K02958,10597693,1,14.756,1.149,0.143,-0.143,0.578,0.334,-0.111,0.923,0.229,-0.123,0.315,0.303,nan,2.138,14.44844,9.73395,0.052,0.869,4.572,1148,8.934,0.034,45.211,16.2,linear
S03439.01,SIMULATED,K03439,4282191,1,14.155,0.782,0.162,-0.146,1.296,0.33,-0.141,-0.295,0.211,-0.142,0.295,0.31,nan,2.065,26.34077,21.27106,0.607,0.875,4.274,213,14.401,0.015,26.491,24.3,linear
S00788.01,SIMULATED,K00788,12404086,1,15.234,0.845,0.064,-0.088,0.857,0.103,-0.055,0.277,0.111,-0.081,0.509,0.196,nan,2.254,3.14051,0.79642,0.357,0.804,0.556,581,0.968,0.024,9.955,48.2,linear
