tid,toi,toidisplay,toipfx,ctoi_alias,pl_pnum,tfopwg_disp,st_tmag,st_tmagerr1,st_tmagerr2,st_tmagsymerr,st_tmaglim,rastr,ra,raerr1,raerr2,rasymerr,decstr,dec,decerr1,decerr2,decsymerr,st_pmra,st_pmraerr1,st_pmraerr2,st_pmrasymerr,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdecsymerr,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidsymerr,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbpersymerr,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhsymerr,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandepsymerr,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radesymerr,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insolsymerr,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtsymerr,pl_eqtlim,st_dist,st_disterr1,st_disterr2,st_distsymerr,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_teffsymerr,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_loggsymerr,st_logglim,st_rad,st_raderr1,st_raderr2,st_radsymerr,st_radlim,sectors,toi_created,rowupdate,release_date
406976746,"1063.01","TOI-1063.01","1063","406976746.01",1,"PC",9.0689000,0.006,-0.006,1,0,"15h22m13.32s",230.5554930,,,,"-83d03m22.37s",-83.0562140,,,,-89.1250000,0.041,-0.041,1,0,-9.6000000,0.044,-0.044,1,0,2458629.3916810,0.001492,-0.001492,1,0,10.0665238,0.0000237,-0.0000237,1,0,2.4023189,0.1599323,-0.1599323,1,0,839.9044871,47.5508350,-47.5508350,1,0,2.7272824,0.2128311,-0.2128311,1,0,54.8791715,,,,,694.1792631,,,,,61.1201000,0.1009000,-0.1009000,1,0,5552.0000000,187.0000000,-187.0000000,1,0,4.6178300,0.2634630,-0.2634630,1,0,0.7917420,0.0453065,-0.0453065,1,0,,"2019-08-16 20:20:49","2025-07-09 16:00:02","2026-02-20 11:39:24"
79748331,"1064.01","TOI-1064.01","1064","79748331.01",1,"CP",10.0059000,0.006,-0.006,1,0,"19h44m00.94s",296.0039350,,,,"-47d33m43.31s",-47.5620300,,,,-3.4570000,0.124,-0.124,1,0,-100.8910000,0.072,-0.072,1,0,2458656.6684780,0.001185,-0.001185,1,0,6.4438657,0.0000165,-0.0000165,1,0,1.9309449,0.3014965,-0.3014965,1,0,1121.9512275,76.1576460,-76.1576460,1,0,2.4603440,1.6387280,-1.6387280,1,0,60.8313050,,,,,712.2812841,,,,,68.0726000,0.3620000,-0.3620000,1,0,4803.0000000,178.0000000,-178.0000000,1,0,4.5207900,2.0034800,-2.0034800,1,0,0.7371890,0.0567035,-0.0567035,1,0,,"2019-08-16 20:20:42","2024-04-25 10:08:01","2026-02-20 11:39:24"
79748331,"1064.02","TOI-1064.02","1064","79748331.02",2,"CP",10.0059000,0.006,-0.006,1,0,"19h44m00.94s",296.0039350,,,,"-47d33m43.31s",-47.5620300,,,,-3.4570000,0.124,-0.124,1,0,-100.8910000,0.072,-0.072,1,0,2458664.4901320,0.001696,-0.001696,1,0,12.2265595,0.0000269,-0.0000269,1,0,2.1904379,0.4219775,-0.4219775,1,0,1206.3693293,86.6094400,-86.6094400,1,0,2.6014766,1.7533404,-1.7533404,1,0,25.8970378,,,,,575.3502049,,,,,68.0726000,0.3620000,-0.3620000,1,0,4803.0000000,178.0000000,-178.0000000,1,0,4.5207900,2.0034800,-2.0034800,1,0,0.7371890,0.0567035,-0.0567035,1,0,,"2019-08-16 20:20:42","2024-04-25 10:08:01","2026-02-20 11:39:24"
7088246,"1065.01","TOI-1065.01","1065","7088246.01",1,"KP",13.2851000,0.006,-0.006,1,0,"19h05m28.02s",286.3667500,,,,"-50d04m02.46s",-50.0673500,,,,7.3150000,0.037,-0.037,1,0,-0.8620000,0.029,-0.029,1,0,2458654.3479940,0.002094,-0.002094,1,0,2.1603440,0.0002760,-0.0002760,1,0,1.8288540,0.1448100,-0.1448100,1,0,19357.9929920,1487.6189000,-1487.6189000,1,0,22.5035410,17.5002040,-17.5002040,1,0,,,,,,,,,,,639.0040000,9.4715000,-9.4715000,1,0,5780.0000000,,,1,0,4.3292800,,,1,0,1.2000000,,,1,0,,"2019-08-16 20:20:41","2021-10-29 12:59:15","2026-02-20 11:39:24"
201604954,"1066.01","TOI-1066.01","1066","201604954.01",1,"KP",11.9707000,0.006,-0.006,1,0,"19h00m23.16s",285.0965170,,,,"-54d53m36.03s",-54.8933410,,,,3.9900000,0.054,-0.054,1,0,-37.1900000,0.042,-0.042,1,0,2458657.8325370,0.001239,-0.001239,1,0,4.6061840,0.0003920,-0.0003920,1,0,3.1216430,0.0788770,-0.0788770,1,0,13793.0348670,1031.5532000,-1031.5532000,1,0,12.9622190,0.5821830,-0.5821830,1,0,,,,,,,,,,,353.8910000,4.9190000,-4.9190000,1,0,5670.0000000,,,1,0,4.3925000,,,1,0,1.0700000,,,1,0,,"2019-08-16 20:20:44","2021-10-29 12:59:15","2026-02-20 11:39:24"
201642601,"1067.01","TOI-1067.01","1067","201642601.01",1,"KP",13.1686000,0.006,-0.006,1,0,"19h14m41.28s",288.6720050,,,,"-59d34m45.66s",-59.5793500,,,,3.1250000,0.031,-0.031,1,0,6.1460000,0.029,-0.029,1,0,2458656.9878740,0.000501,-0.000501,1,0,3.1316735,0.0000033,-0.0000033,1,0,2.4579197,0.0815638,-0.0815638,1,0,14915.6943722,307.9136400,-307.9136400,1,0,9.4995191,0.3442331,-0.3442331,1,0,148.6544991,,,,,890.5622134,,,,,263.6090000,1.6590000,-1.6590000,1,0,4351.0000000,167.0000000,-167.0000000,1,0,4.4380000,,,1,0,0.7670100,,,1,0,,"2019-08-16 20:20:44","2024-03-14 16:54:32","2026-02-20 11:39:24"
6663331,"1068.01","TOI-1068.01","1068","6663331.01",1,"KP",13.2887000,0.006,-0.006,1,0,"18h57m35.94s",284.3997620,,,,"-49d08m18.65s",-49.1385130,,,,11.0960000,0.044,-0.044,1,0,-5.7640000,0.042,-0.042,1,0,2458656.6332310,0.001251,-0.001251,1,0,3.1803620,0.0002470,-0.0002470,1,0,2.1115210,0.1062580,-0.1062580,1,0,21192.4633240,682.4742400,-682.4742400,1,0,13.4464870,0.6006790,-0.6006790,1,0,,,,,,,,,,,535.3830000,7.8145000,-7.8145000,1,0,5498.0000000,,,1,0,4.4793400,,,1,0,0.9200000,,,1,0,,"2019-08-16 20:20:41","2021-10-29 12:59:15","2026-02-20 11:39:24"
31858843,"1069.01","TOI-1069.01","1069","31858843.01",1,"KP",10.4293000,0.006,-0.006,1,0,"19h17m55.01s",289.4792120,,,,"-32d51m36.45s",-32.8601240,,,,-16.7780000,0.108,-0.108,1,0,-31.8030000,0.089,-0.089,1,0,2460147.3787640,0.000256,-0.000256,1,0,2.9776446,0.0000008,-0.0000008,1,0,2.9620000,0.0990000,-0.0990000,1,0,13022.0000000,123.0520000,-123.0520000,1,0,14.4339000,0.7657650,-0.7657650,1,0,758.3240000,,,,,1461.0000000,,,,,197.9960000,3.0380000,-3.0380000,1,0,5703.0000000,188.0000000,-188.0000000,1,0,4.2582400,0.2982820,-0.2982820,1,0,1.2200000,0.0600000,-0.0600000,1,0,,"2019-08-16 20:20:41","2023-10-16 16:02:02","2026-02-20 11:39:24"
92352620,"107.01","TOI-107.01","107","92352620.01",1,"KP",9.6433000,0.006,-0.006,1,0,"20h55m07.98s",313.7832390,,,,"-34d08m08.7s",-34.1357510,,,,26.3760000,0.078,-0.078,1,0,-44.9470000,0.059,-0.059,1,0,2460176.9933340,0.000449,-0.000449,1,0,3.9502008,0.0000026,-0.0000026,1,0,4.4440000,0.0460000,-0.0460000,1,0,13914.0000000,95.9899000,-95.9899000,1,0,20.5357000,0.8996640,-0.8996640,1,0,1009.3800000,,,,,1570.0000000,,,,,211.2110000,2.4835000,-2.4835000,1,0,6153.0000000,,,1,0,4.1807700,,,1,0,1.7100000,0.0700000,-0.0700000,1,0,,"2018-09-05 18:49:20","2023-11-15 16:02:02","2026-02-20 11:39:24"
31858844,"1070.01","TOI-1070.01","1070","31858844.01",1,"FP",15.7114000,0.023,-0.023,1,0,"19h17m54.85s",289.4785410,,,,"-32d51m40.78s",-32.8613270,,,,,,,,,,,,,,2458655.5792410,0.000532,-0.000532,1,0,2.9776152,0.0000978,-0.0000978,1,0,3.2569700,0.0302260,-0.0302260,1,0,43218.1116830,416.7277800,-416.7277800,1,0,26.8842300,0.1969780,-0.1969780,1,0,873.2700000,,,,,1386.5000000,,,,,,,,1,0,5740.0000000,,,1,0,4.2921900,,,1,0,1.2800000,,,1,0,,"2019-08-16 20:20:41","2021-10-29 12:59:15","2026-02-20 11:39:24"
